OCLC,TITLE,AUTHORS,PUB_DATE,PUBLISHER,GENRE,SUMMARY,FORMAT,RECORD #(BIBLIO),CALL #(BIBLIO),LANG,LOCATION,SUBJECT
664298969,Twelfth night,"  William P Holden,  Shakespeare  William ,  William Shakespeare",1965 1954,Yale University Pr.,,,18 cm.,b11634418,PR2837.A2 H7 1965,eng,hxxx0,Brothers and sisters -- Drama
9392842,"Edward Weston in Mexico, 1923-1926","  Amy Conger,  Edward Weston,  Weston  Edward ",1983,Published for the San Francisco Museum of Modern Art by the University of New Mexico Press,Exhibition catalogs   Pictorial works ,Examines Westons experiments with still lifes and landscape photography ,24 x 27 cm.,b12596358,TR 647 W44 1983,eng,"dsxx0,hxxx0","Photography, Artistic -- Exhibitions;""Mexico -- Description and travel -- Views"";""Weston, Edward, 1886-1958"""
2521773,Photographs of the Southwest,"Ansel Adams,  Lawrence Clark Powell",1976,New York Graphic Society,"Autographs (Provenance,  Pictorial works ",More than 100 photographs of the Southwest by the renowned artist  including views of the national parks such as the Grand Canyon  Zion  Death Valley  and Joshua Tree  among others; as well as images of Navajo Mountain  Hopi Buttes  Taos Pueblo  saguaro cactus  gravestones  and other varied subjects ,25 x 32 cm.,b19882506,F787 .A3x,eng,"dsxx0,hxxx0","Photography, Artistic;""Southwest, New -- Pictorial works"""
8844023,Portraits,"  Bill Brandt,  Brandt  Bill ",1982,University of Texas Press,,,30 cm.,b12263084,TR 681 F3 B73 1982,eng,"dsxx0,hxxx0","Portrait photography;""Brandt, Bill"""
10182889,Zhejiang wen xian cong kao,Huanchun Hong,1983,"Zhejiang sheng xin hua shu dian fa xing, Zhejiang ren min chu ban she",Bibliography   History ,,21 cm,b38630886,Z3107.C38 H86 1983,chi,haxx0,Zhejiang Sheng (China) -- History -- Bibliography
15430416,Xian dai shi san shi nian zhan lan mu lu,, 73 1984,Guo li zhong yang tu shu guan,Catalogs   Bibliography,,21 cm,b38630904,PL2543 .K86 1984,chi,haxx0,"Chinese poetry -- 20th century -- Bibliography -- Catalogs;""880-04 Guo li zhong yang tu shu guan (China) -- Catalogs"""
11261603,Li yun shu wu wen xue ji,  Chen  Yuan ,1982,"Sheng huo, du shu, xin zhi san lian shu dian, Xin hua shu dian fa xing",Biography ,,21 cm,b38630801,CT3990.C45 L5 1982,chi,haxx0,"880-05 Chen, Yuan, 1880-1971;""Scholars -- China -- Biography"""
16793862,"&lt;&lt;Beijing wen xue&gt;&gt; duan pian xiao shuo xuan, 1981",,1982,"Xin hua shu dian Beijing fa xing suo fa xing, Beijing chu ban she",,,19 cm,b38630813,PL2653 .P474 1982,chi,haxx0,"Short stories, Chinese;""Chinese fiction -- 20th century"""
16821431,1980 nian zhong pian xiao shuo nian bian,,1981,"Jiangsu sheng xin hua shu dian fa xing, Jiangsu ren min chu ban she",,,21 cm,b38630850,PL2653.A183 1981,chi,haxx0,"Chinese fiction -- 20th century;""Roman chinois -- 20e siècle. ram"""
13122571,Zhong Ri mu lin you hao guan xi de xin fa zhan,Yaobang Hu,1984,"Xin hua shu dian fa xing, Ren min chu ban she",,,21 cm,b38630862,DS740.5.J3 H87 1984,chi,haxx0,"China -- Foreign relations -- Japan;""Japan -- Foreign relations -- China"""
11233895,Yi Mao gong,  Mao  Dun ,1982,"Xin hua shu dian Beijing fa xing suo fa xing, Wen hua yi shu chu ban she",Biography ,,21 cm,b38630916,PL2801.N2 Z7 1982,chi,haxx0,"880-04 Mao, Dun, 1896-1981;""Authors, Chinese -- 20th century -- Biography"""
