Genre,Count
Manuscripts ,3
Motion pictures ,5
Tragedies,5
Sacred books ,6
Nonfiction ,7
Essays ,8
Maps,10
Legislative hearings ,12
Cookbooks ,13
Romance,13
Comedy,15
Folklore ,15
Treaties & Trials,18
Drama,21
Cross-cultural studies ,25
Short stories,26
Guidebooks,27
Zines,29
Identification guides ,35
Encyclopedias ,38
Interviews ,38
Comic books,43
Personal narratives,44
Manuals,45
Childrens books,54
Art,57
Dictionaries ,58
Textbooks,61
Statistics,62
Poetry,85
Translations,88
Case studies ,89
Conference papers and proceedings,117
Pictorial works,183
Fiction,276
Exhibition catalogs,484
Biography,596
Criticism  interpretation  etc,818
History,2274
